Covered      Range       Script
-------      -----       ------

 100.8%  U+0000..U+007F  C0 Controls and Basic Latin

 100.0%  U+0080..U+00FF  C1 Controls and Latin-1 Supplement

 100.0%  U+0100..U+017F  Latin Extended - A

 100.0%  U+0180..U+024F  Latin Extended - B

 100.0%  U+0250..U+02AF  IPA Extensions

 100.0%  U+02B0..U+02FF  Spacing Modifier Letters

 100.0%  U+0300..U+036F  Combining Diacritical Marks

 100.0%  U+0370..U+03FF  Greek and Coptic

 100.0%  U+0400..U+04FF  Cyrillic

 100.0%  U+0500..U+052F  Cyrillic Supplement

 100.0%  U+0530..U+058F  Armenian

 100.0%  U+0590..U+05FF  Hebrew

 100.0%  U+0600..U+06FF  Arabic

 100.0%  U+0700..U+074F  Syriac

 100.0%  U+0750..U+077F  Arabic Supplement

 100.0%  U+0780..U+07BF  Thaana

 100.0%  U+07C0..U+07FF  N'Ko

 100.0%  U+0800..U+083F  Samaritan

 100.0%  U+0840..U+085F  Mandaic

 100.0%  U+0860..U+086F  Syriac Supplement

 100.0%  U+0870..U+089F  Unassigned

 100.0%  U+08A0..U+08FF  Arabic Extended - A

 100.0%  U+0900..U+097F  Devanagari

 100.0%  U+0980..U+09FF  Bengali

 100.0%  U+0A00..U+0A7F  Gurmukhi

 100.0%  U+0A80..U+0AFF  Gujarati

 100.0%  U+0B00..U+0B7F  Oriya

 100.0%  U+0B80..U+0BFF  Tamil

 100.0%  U+0C00..U+0C7F  Telugu

 100.0%  U+0C80..U+0CFF  Kannada

 100.0%  U+0D00..U+0D7F  Malayalam

 100.0%  U+0D80..U+0DFF  Sinhala

 100.0%  U+0E00..U+0E7F  Thai

 100.0%  U+0E80..U+0EFF  Lao

 100.0%  U+0F00..U+0FFF  Tibetan

 100.0%  U+1000..U+109F  Myanmar

 100.0%  U+10A0..U+10FF  Georgian

 100.0%  U+1100..U+11FF  Hangul Jamo

 100.0%  U+1200..U+137F  Ethiopic

 100.0%  U+1380..U+139F  Ethiopic Supplement

 100.0%  U+13A0..U+13FF  Cherokee

 100.0%  U+1400..U+167F  Unified Canadian Aboriginal Syllabics

 100.0%  U+1680..U+169F  Ogham

 100.0%  U+16A0..U+16FF  Runic

 100.0%  U+1700..U+171F  Tagalog

 100.0%  U+1720..U+173F  Hanunoo

 100.0%  U+1740..U+175F  Buhid

 100.0%  U+1760..U+177F  Tagbanwa

 100.0%  U+1780..U+17FF  Khmer

 100.0%  U+1800..U+18AF  Mongolian

 100.0%  U+18B0..U+18FF  Unified Canadian Aboriginal Syllabics Extended

 100.0%  U+1900..U+194F  Limbu

 100.0%  U+1950..U+197F  Tai Le

 100.0%  U+1980..U+19DF  New Tai Lue

 100.0%  U+19E0..U+19FF  Khmer Symbols

 100.0%  U+1A00..U+1A1F  Buginese

 100.0%  U+1A20..U+1AAF  Tai Tham

 100.0%  U+1AB0..U+1AFF  Combining Diacritical Marks Extended

 100.0%  U+1B00..U+1B7F  Balinese

 100.0%  U+1B80..U+1BBF  Sundanese

 100.0%  U+1BC0..U+1BFF  Batak

