#
# Equivalents
# (Substitions that could be made but aren't are commented out)
#
# U+0022 U+201C U+201D    # Double Quote
# U+0027 U+2018 U+2019    # Single Quote
U+002D U+2013 U+2014 U+2015  U+2212    # Hyphen-Minus
# U+003C U+2039    # <, Left Pointing Angle Quotation Mark
# U+003E U+203A    # >, Right Pointing Angle Quotation Mark
U+03A9 U+2126    # Omega, Ohm Sign
U+03B1 U+237A    # alpha sign
U+03B9 U+2373    # iota sign
U+03C1 U+2374    # rho sign
U+03C9 U+2375    # omega sign
U+03B1 U+237A    # GREEK SMALL LETTER ALPHA maps to APL FUNCTIONAL SYMBOL ALPHA
U+2039 U+003C    # SINGLE LEFT-POINTING ANGLE QUOTATION MARK, "<"
U+203A U+003E    # SINGLE RIGHT-POINTING ANGLE QUOTATION MARK, ">"
U+220A U+2208    # Element signs
U+2219 U+2022    # Bullet Operator
U+2264 U+2A7D    # <=
U+22C4 U+25CA U+2B26    # DIAMOND OPERATOR
U+22F8 U+2377    # Underlined element signs
U+2375 U+03C9    # APL FUNCTIONAL SYMBOL OMEGA
U+22F8 U+2377    # ELEMENT OF WITH UNDERBAR, APL FUNCTIONAL SYMBOL EPSILON UNDERBAR
U+237A U+03B1    # APL FUNCTIONAL SYMBOL ALPHA
U+25AF U+2395    # APL FUNCTIONAL SYMBOL QUAD <-- WHITE VERTICAL RECTANGLE
U+2265 U+2A7E    # >=
U+2588 U+25A0    # Full Block
U+25CB U+26AA    # WHITE CIRCLE
U+2666 U+25C6    # Black Diamond Suit
# U+0020 U+00A0 U+2000 U+2001 U+2002 U+2003 U+2004 U+2005 U+2006 U+2007 U+2008 U+2009 U+200A U+205F U+FFA0 # Spaces
